"ticker","price","% Held by Insiders 1","% Held by Institutions 1","200-Day Moving Average 3","50-Day Moving Average 3","52 Week High 3","52 Week Low 3","52-Week Change 3","Avg Vol (10 day) 3","Avg Vol (3 month) 3","Beta (3Y Monthly) ","Book Value Per Share (mrq)","Current Ratio (mrq)","Diluted EPS (ttm)","EBITDA ","Enterprise Value 3","Enterprise Value/EBITDA 6","Enterprise Value/Revenue 3","Float ","Forward P/E 1","Gross Profit (ttm)","Levered Free Cash Flow (ttm)","Market Cap (intraday) 5","Net Income Avi to Common (ttm)","Operating Cash Flow (ttm)","Operating Margin (ttm)","Payout Ratio 4","PEG Ratio (5 yr expected) 1","Price/Book (mrq)","Price/Sales (ttm)","Profit Margin ","Quarterly Revenue Growth (yoy)","Return on Assets (ttm)","Return on Equity (ttm)","Revenue (ttm)","Revenue Per Share (ttm)","S&P500 52-Week Change 3","Shares Outstanding 5","Shares Short (Mar 15, 2019) 4","Shares Short (prior month Feb 15, 2019) 4","Short % of Shares Outstanding (Mar 15, 2019) 4","Short Ratio (Mar 15, 2019) 4","Total Cash (mrq)","Total Cash Per Share (mrq)","Total Debt (mrq)","Total Debt/Equity (mrq)","Trailing P/E "
"QCOM","56.95","9e-04","0.8494","57.73","55.94","76.50","48.56","0.0206","12320000","14380000","0.92","2.99","1.54","1.56","6.39e+09","7.5e+10","11.74","3.48","1.21e+09","13.09","1.294e+10","4.84e+09","6.893e+10","2.19e+09","2.49e+09","0.2246","1.5188","1.01","19.05","3.20","0.1015","-0.198","0.0613","0.1588","2.154e+10","15.42","0.0786","1.21e+09","27880000","37100000","0.023","2.17","1.031e+10","8.52","1.639e+10","453.03","36.41"
"DGX","89.88","0.0035","0.9155","90.65","88.17","116.49","78.95","-0.1137","889090","1270000","0.93","38.64","0.94","5.29","1.53e+09","1.612e+10","10.51","2.14","133730000","13.26","2.67e+09","5.34e+08","1.21e+10","7.33e+08","1.2e+09","0.1627","0.3686","2.48","2.33","1.61","0.0977","-0.014","0.0712","0.1518","7.53e+09","55.38","0.0786","134580000","4210000","3930000","0.0314","2.77","1.35e+08","1","4.08e+09","76.42","16.99"
"RTN","184.41","0.0018","0.7692","177.65","181.62","229.75","144.27","-0.1938","1780000","1990000","1.29","40.67","1.46","10.15","3.8e+09","5.307e+10","13.96","1.96","281640000","14.01","7.49e+09","2.2e+09","5.205e+10","2.91e+09","3.43e+09","0.1223","0.3419","0.61","4.53","1.92","0.1075","0.085","0.0659","0.2579","2.706e+10","94.44","0.0786","282240000","3530000","4140000","0.0125","1.83","3.61e+09","12.78","5.06e+09","42.54","18.17"
"REG","68.86","0.0117","1.0106","63.58","66.19","68.99","55.38","0.1679","561280","795330","0.66","38.19","1.58","1.46","747790000","1.516e+10","20.28","13.07","157620000","42.51","858060000","470140000","1.156e+10","249130000","610330000","0.3632","1.7104","4.97","1.80","9.96","0.2147","0.077","0.0238","0.0383","1.16e+09","6.84","0.0786","167520000","3220000","3420000","0.0192","4.07","60010000","0.36","3.72e+09","57.68","47.16"
"REGN","382.94","0.2461","0.7268","389.79","410.86","442.00","281.89","0.2366","733360","687170","1.13","80.69","4.47","21.29","2.68e+09","3.956e+10","14.75","5.90","80720000","15.23","4.09e+09","1.35e+09","4.167e+10","2.44e+09","2.2e+09","0.3777","0","1.55","4.75","6.21","0.3643","0.218","0.1545","0.3281","6.71e+09","62.19","0.0786","106890000","1910000","1760000","0.0174","2.69","2.81e+09","25.83","708500000","8.09","17.99"
"RSG","78.22","0.0017","0.9687","75.36","78.95","81.20","64.13","0.18","1260000","1270000","0.57","24.58","0.57","3.16","2.79e+09","3.317e+10","11.88","3.30","212260000","21.85","3.89e+09","851460000","2.516e+10","1.04e+09","2.24e+09","0.1671","0.4557","2.00","3.18","2.51","0.1033","-0.012","0.049","0.1306","1.004e+10","30.72","0.0786","321680000","5870000","6570000","0.016","4.27","70500000","0.22","8.34e+09","105.14","24.75"
"RMD","102.28","0.0121","0.7101","105.21","101.54","118.50","90.64","0.0114","737240","1160000","0.55","13.65","2.44","3.12","736490000","1.55e+10","21.04","6.31","141990000","26.16","1.36e+09","539990000","1.466e+10","450310000","456080000","0.2481","0.4615","2.56","7.49","5.97","0.1834","0.083","0.1025","0.2265","2.45e+09","17.18","0.0786","143300000","3310000","2990000","0.0231","3.27","149470000","1.04","1.2e+09","61.22","32.79"
"RHI","66.96","0.0278","0.9778","62.87","66.08","79.91","52.79","0.1218","826960","1060000","1.41","9.09","1.80","3.57","653170000","7.51e+09","11.49","1.29","113970000","15.57","2.41e+09","447140000","7.84e+09","434290000","572320000","0.1012","0.3137","2.30","7.37","1.35","0.0749","0.101","0.1947","0.4006","5.8e+09","48.13","0.0786","117030000","11710000","10870000","0.0984","10.79","276580000","2.36","657000","0.06","18.76"
"ROK","184.24","0.0065","0.7803","169.96","178.83","198.23","141.46","0.054","672340","873380","1.50","10.66","1.21","6.79","1.46e+09","2.298e+10","15.72","3.42","118720000","18.95","2.87e+09","932440000","2.202e+10","851400000","1.3e+09","0.1953","0.5432","2.36","17.28","3.28","0.1268","0.035","0.1253","0.4968","6.72e+09","54.46","0.0786","119540000","3140000","3030000","0.0263","4.39","753500000","6.3","1.87e+09","146.49","27.13"
"ROP","351.26","0.0226","0.9484","296.94","332.44","351.39","245.59","0.2629","373710","403230","1.10","74.84","1.11","9.05","1.76e+09","4.047e+10","22.95","7.80","102980000","27.10","3.28e+09","1.27e+09","3.639e+10","944400000","1.43e+09","0.269","0.1823","9.39","4.69","7.01","0.1819","0.122","0.059","0.1294","5.19e+09","50.30","0.0786","103610000","1420000","1430000","0.0137","3.48","364400000","3.52","4.94e+09","63.86","38.81"
