"ticker","price","% Held by Insiders 1","% Held by Institutions 1","200-Day Moving Average 3","50-Day Moving Average 3","52 Week High 3","52 Week Low 3","52-Week Change 3","Avg Vol (10 day) 3","Avg Vol (3 month) 3","Beta (3Y Monthly) ","Book Value Per Share (mrq)","Current Ratio (mrq)","Diluted EPS (ttm)","EBITDA ","Enterprise Value 3","Enterprise Value/EBITDA 6","Enterprise Value/Revenue 3","Float ","Forward P/E 1","Gross Profit (ttm)","Levered Free Cash Flow (ttm)","Market Cap (intraday) 5","Net Income Avi to Common (ttm)","Operating Cash Flow (ttm)","Operating Margin (ttm)","Payout Ratio 4","PEG Ratio (5 yr expected) 1","Price/Book (mrq)","Price/Sales (ttm)","Profit Margin ","Quarterly Revenue Growth (yoy)","Return on Assets (ttm)","Return on Equity (ttm)","Revenue (ttm)","Revenue Per Share (ttm)","S&P500 52-Week Change 3","Shares Outstanding 5","Shares Short (Mar 15, 2019) 4","Shares Short (prior month Feb 15, 2019) 4","Short % of Shares Outstanding (Mar 15, 2019) 4","Short Ratio (Mar 15, 2019) 4","Total Cash (mrq)","Total Cash Per Share (mrq)","Total Debt (mrq)","Total Debt/Equity (mrq)","Trailing P/E "
"WCG","270.34","0.0073","1.0333","265.54","257.90","324.99","194.52","0.4007","1390000","971760","1.42","84.81","1.31","9.29","920700000","1.116e+10","12.12","0.55","49630000","16.55","2.71e+09","-432410000","1.36e+10","439800000","2.79e+08","0.0402","0","1.04","3.19","0.67","0.0215","0.397","0.0509","0.1321","2.041e+10","436.50","0.0786","50300000","1820000","1470000","0.0364","2.68","4.48e+09","89.69","2.13e+09","50.15","29.10"
"WELL","76.47","0.0023","0.8658","71.68","76.32","79.41","49.58","0.4564","1580000","2340000","0.52","36.26","1.91","2.02","2.1e+09","4.474e+10","21.26","9.66","385740000","41.11","2.2e+09","1.55e+09","2.955e+10","758250000","1.58e+09","0.2449","1.5747","2.25","2.11","6.38","0.1737","0.124","0.0243","0.053","4.63e+09","12.40","0.0786","386360000","6890000","9840000","0.0173","2.36","215380000","0.56","1.33e+10","83.05","37.86"
"WDC","51.83","0.0034","0.8615","46.73","49.43","92.06","33.83","-0.4385","4210000","7280000","1.72","37.50","2.24","2.73","4.74e+09","2.165e+10","4.57","1.12","289390000","9.93","7.71e+09","2.14e+09","1.507e+10","8.41e+08","3.06e+09","0.1449","0.7246","-0.97","1.38","0.78","0.0434","-0.207","0.0608","0.0758","1.939e+10","65.73","0.0786","290850000","19890000","20290000","0.0684","2.97","4.04e+09","13.88","1.061e+10","97.27","18.96"
"WRK","39.54","0.0136","0.9014","41.79","38.51","67.01","35.20","-0.4033","1940000","2720000","1.58","45.54","1.40","3.51","2.86e+09","2.051e+10","7.16","1.23","250990000","9.41","3.39e+09","631940000","9.98e+09","910100000","2.48e+09","0.0967","0.4986","0.64","0.87","0.60","0.0544","0.111","0.0362","0.0796","1.672e+10","65.45","0.0786","252480000","5710000","4400000","0.0223","1.96","260700000","1.02","1.082e+10","93.13","11.27"
"WY","27.17","0.0026","0.7959","26.14","25.88","38.39","20.52","-0.2577","3610000","4670000","1.72","12.12","0.83","0.99","1.86e+09","2.653e+10","14.26","3.55","744580000","26.38","1.88e+09","534380000","2.024e+10","7.48e+08","1.11e+09","0.1838","1.3333","6.86","2.24","2.71","0.1001","-0.103","0.0486","0.0834","7.48e+09","9.91","0.0786","744770000","12120000","11270000","0.0162","2.11","3.34e+08","0.45","6.65e+09","73.47","27.44"
"WLTW","180.72","0.0054","0.9505","158.83","174.69","187.91","134.50","0.1818","398580","729750","0.54","76.42","1.07","5.27","1.9e+09","2.705e+10","14.27","3.18","128530000","15.28","3.69e+09","1.04e+09","2.335e+10","6.95e+08","1.29e+09","0.1516","0.4554","1.52","2.36","2.74","0.0816","0.141","0.0249","0.0705","8.51e+09","64.99","0.0786","129200000","1150000","1560000","0.0089","1.18","1.03e+09","8","4.6e+09","46.05","34.29"
"WYNN","143.78","0.0977","0.759","115.83","125.88","202.48","90.06","-0.2527","2350000","2160000","1.31","19.06","1.40","5.35","1.81e+09","2.241e+10","12.38","3.34","90970000","18.11","5.07e+09","-402730000","1.548e+10","572430000","961490000","0.1875","0.514","1.56","7.54","2.30","0.0852","0.04","0.0608","0.5552","6.72e+09","63.06","0.0786","107640000","4980000","6330000","0.0462","2.69","2.22e+09","20.68","9.44e+09","520.18","26.87"
"XEL","55.87","0.0022","0.7768","51.82","55.76","57.51","41.99","0.2295","2820000","3400000","0.25","23.78","0.69","2.47","3.63e+09","4.567e+10","12.57","3.96","512850000","20.03","4.16e+09","-1.22e+09","2.875e+10","1.26e+09","3.12e+09","0.1604","0.6154","3.19","2.35","2.49","0.1093","0.03","0.026","0.1065","1.154e+10","22.58","0.0786","514670000","15130000","11720000","0.0294","3.99","2.01e+08","0.39","1.725e+10","141.11","22.64"
"XRX","34.39","0.0409","0.8828","27.39","32.02","34.64","18.58","0.1786","1900000","3280000","2.20","21.80","1.44","1.38","1.39e+09","1.226e+10","8.84","1.25","196870000","8.49","3.93e+09","1.15e+09","7.86e+09","3.47e+08","1.14e+09","0.1003","0.7246","1.04","1.58","0.80","0.0367","-0.078","0.04","0.0695","9.83e+09","39.52","0.0786","228510000","6150000","6240000","0.0269","2.04","1.08e+09","4.72","5.23e+09","99.56","24.92"
"XLNX","134.41","0.0021","0.9047","99.66","125.93","134.48","62.54","0.9371","2600000","3780000","1.41","10.42","4.38","3.29","1.09e+09","3.23e+10","29.69","10.98","252760000","35.09","1.78e+09","715070000","3.403e+10","838980000","1.05e+09","0.3284","0.4347","2.11","12.90","11.57","0.2853","0.337","0.1152","0.3355","2.94e+09","11.64","0.0786","253160000","6e+06","4790000","0.0237","1.67","3.47e+09","13.7","1.74e+09","66.14","40.80"
"XYL","82.37","0.0066","0.9189","71.93","77.95","82.64","60.65","0.04","874680","860730","1.13","15.40","1.51","3.03","9.53e+08","1.655e+10","17.37","3.18","178830000","21.62","2.03e+09","326250000","1.481e+10","5.49e+08","5.86e+08","0.1329","0.2772","1.53","5.35","2.85","0.1054","0.085","0.0614","0.2071","5.21e+09","28.96","0.0786","179850000","4660000","4420000","0.0247","5.59","2.96e+08","1.65","2.31e+09","82.96","27.18"
"ZTS","101.67","0.0029","0.9492","91.28","97.95","103.33","77.00","0.1974","1740000","2320000","0.65","4.56","3.60","2.93","2.18e+09","5.313e+10","24.42","9.12","478340000","26.27","3.92e+09","1.15e+09","4.871e+10","1.43e+09","1.79e+09","0.3246","0.172","1.99","22.32","8.36","0.2451","0.071","0.1221","0.7172","5.82e+09","12.06","0.0786","479150000","6620000","5630000","0.0138","2.82","1.7e+09","3.56","6.45e+09","295.29","34.70"
